"S. No."#"Name of District Consumer Commission"#"Address of the District Consumer Commission"#"Contact Number"     
  "Andaman & Nicobar Islands"    
 1#"Andaman & Nicobar       District Consumer Disputes Redressal Commission   "#"--"#"03192 – 236616"
"Andhra Pradesh"  
 1#"Ananthapuramu District Consumer Disputes Redressal Commission"#"District Court Premises,  Anantapuramu – 515001"#"08554 – 220893"    
 2#"Chittoor–I District Consumer Disputes Redressal Commission-I"#"District Court Compound,  Prakasam High Road,  Chittoor – 517001"#"08572 – 233577"    
 3#"Chittoor–II at Tirupathi District Consumer Disputes Redressal Commission-II"#"D. No.6-153/1, 4th Floor,  TTD New By Pass Road,  Near M. R. Palle Police  Station, Tirupathi – 517507  District Chittoor"#"0877 – 2246744"    
 4#"East Godavari-I at Kakinada District Consumer Disputes Redressal Commission"#"District Court Compound,  Kacheripeta, Opp to CPM  Office, Kakinada – 533001  E.G. District"#"0884 – 2378821"    
 5#"East Godavari-II at Rajahmundry District Consumer Disputes Redressal Commission"#"Magistrate Court Compound,  Opp to III Town Police  Station, Aryapuram,  Rajahmundry – 533104,  East Godavari District"#"0883 – 2467288"    
 6#"Guntur District                            Consumer Disputes Redressal Commission"#"District Court Compound,  Nagarampallem,  Guntur-522004"#"0863 – 2241500"    
 7#"Kadapa District  Consumer Disputes Redressal Commission"#"Old Collectorate Compound,  Y.S.R. (Kadapa) – 516001   "#"08562 – 247201"    
 8#"Krishna –I at Machilipatnam District Consumer Disputes  Redressal Commission-I"#"Near Pinamaneni Teachers  Guild Association, Edepally,  Machilipatnam – 521001  Krishna District   "#"08672 -229832"    
 9#"Krishna-II at Vijayawada District Consumer Disputes Redressal Commission-II"#"Near Civil Courts,  Beside A. S. Rama Rao Hall,  Governorpet,  Vijayawada-520002  Krishna District"#"0866 – 2573161"    
 10#"Kurnool District  Consumer Disputes Redressal Commission"#"Munsif Court Compound,  Near Sai Baba Temple  Kurnool – 518001   "#"08518 – 245688"    
 11#"SPSR Nellore District Consumer Disputes  Redressal Commission"#"Golden Jubilee Bhavan,  Collectorate Compound,  SPSR Nellore - 524001"#"0861 – 2337063"    
 12#"Prakasam at Ongole District Consumer Disputes Redressal Commission Gadalaguntapalem"#"Opp. : SSN Junior College,  Beside Traffic Police Station  Layer Pet Extension,  Ongole – 523002  Prakasam District"#"08592 – 231292"    
 13#"Srikakulam District Consumer Disputes Redressal Commission"#"District Court Complex,  Opp to RTC Complex,  Srikakulam – 532001"#"08942 - 224468"    
 14#"Visakhapatnam-I District Consumer Disputes Redressal Commission-I   "#"D. No.29-45-2/1, 1st& 2nd  Floors, Old SVI Colony,  Opposite District Court  Building, Visakhapatnam-530001"#"0891 – 2746026"    
 15#"Visakhapatnam-II District Consumer Disputes Redressal Commission-II"#"D. No.29-45-2/1, 1st& 2nd  Floors, Old SVI Colony,  Opposite District Court  Building, Visakhapatnam-530001"#"0891-2734128"    
 16#"Vizianagaram District Consumer Disputes Redressal Commission"#"Pradeepnagar, Near  District Court Complex,  Vizianagaram - 535202"#"08922 – 221640"    
 17#"West Godavari at Eluru District Consumer Disputes Redressal Commission"#"District Court Premises,  Eluru – 515001,  W.G. District"#"08812 – 239670"
"Arunachal Pradesh"    
 1#"Tawang District  Commission"#"Department of Legal Metrology & Consumer Affairs  Tawang District,                                                 Arunachal Pradesh – 790104"#"03794 - 222221"    
 2#"East Kameng District Consumer Disputes Redressal Commission   "#"Legal Metrology            & Consumer Affairs,  East Kameng District,  Bomdila – 790102"#"03787 - 222576"    
 3#"West Kameng District  Commission"#"Legal Metrology & Consumer Affairs,  West Kameng District,  Bomdila – 790001"#"03782 - 222021           "    
 4#"Papum pare District Consumer Disputes Redressal Commission   "#"Legal Metrology            & Consumer Affairs,  Papum pare District,  Yupia – 791110"#"--"    
 5#"Lower Subansiri District Consumer Disputes Redressal Commission"#"Legal Metrologysumer Affairs,  Lower Subansiri District,  Ziro – 791120"#"03788 – 224255"    
 6#"Upper Subansiri District Consumer Disputes Redressal Commission   "#"Legal Metrology            & Consumer Affairs,  Upper Subansiri District,  Daporijo – 791122"#"03792-223223"    
 7#"West Siang District Consumer Disputes Redressal Commission   "#"Legal Metrology & Consumer Affairs,  West Siang District,  Aalo – 791001"#"03783-222221"    
 8#"Kurung Kumey District  Commission   "#"Deputy Commissioner Office  Kurung Kumey District,  Koloriang-791118"#"03788 - 262231"    
 9#"East Siang District Consumer Disputes Redressal Commission   "#"Legal Metrology & Consumer Affairs  East Siang District,  Pasighat – 791102"#"0368 - 2222340"    
 10#"Upper Siang District Consumer Disputes Redressal Commission   "#"Deputy Commissioner Office,  Yingkiong – 791002"#"03777 - 222221           "    
 11#"Lower Dlbang Valley District Consumer Disputes Redressal Commission"#"Legal Metrology & Consumer Affairs  Lower Dlbang Valley District,  Roing – 792110"#"03803 - 222223"    
 12#"Lohit District Consumer Disputes Redressal Commission"#"Legal Metrology            & Consumer Affairs  Lohit District,  Tezu – 792001"#"03804 – 224485"    
 13#"Changlang District Consumer Disputes Redressal Commission"#"Legal Metrology & Consumer Affairs,  Changlang District,  Changlang – 792120"#"03808-222221"    
 14#"Tirap District Consumer Disputes Redressal Commission"#"Legal Metrology & Consumer Affairs,  Tirap District,  Khonsa – 792130"#"03786-222222"    
 15#"Namsai District Consumer Disputes Redressal Commission "#"Legal Metrology & Consumer Affairs,  Namsai District,  Namsai  – 792103"#"03806-262228"    
 16#"Anjaw District Consumer Disputes Redressal Commission"#"Deputy Commissioner Office,  Anjaw District,  Hawai – 792104"#"--"   
"Assam"    
 1#"Barpeta District Consumer Disputes Redressal Commission"#"P.O. & District Barpeta - 781301"#"03665-252223"    
 2#"Bongaigaon District Consumer Disputes Redressal Commission"#"P.O. & District Bongaigaon"#"03664-221060"    
 3#"Cachar District Consumer Disputes Redressal Commission"#"Kalimohan Road, Tarapur, Silchar -788003"#"03842-232597"    
 4#"Darrang District Consumer Disputes Redressal Commission"#"P.O. Mongaldoi, District Darrang"#"03713-222238"    
 5#"Dhemaji District Consumer Disputes Redressal Commission"#"P.O. & District Dhemaji"#"037532-224213"    
 6#"Dhubri District Consumer Disputes Redressal Commission"#"P.O. & District Dhubri - 783301"#"03662-230024"    
 7#"Dibrugarh District Consumer Disputes Redressal Commission"#"P.O. & District Dibrugarh"#"0373-95712"    
 8#"Goalpara District Consumer Disputes Redressal Commission"#"P.O. & District Goalpara - 783101"#"03663-243075"    
 9#"Golaghat District Consumer Disputes Redressal Commission"#"P.O. & District Golaghat - 785621"#"03774-2480072"    
 10#"Hailakandi District Consumer Disputes Redressal Commission"#"P.O. & District Hailakandi"#"03844-222719"    
 11#"Jorhat District Consumer Disputes Redressal Commission"#"District Jorhat - 785001"#"0376-2371414"    
 12#"Kamrup District Consumer Disputes Redressal Commission"#"Redcross Hospital Road, Chandmari Guwahati 3"#"0361-2668616"    
 13#"Karbi-Anglong District Consumer Disputes Redressal Commission"#"P.O. : Diphu, District Karbi-Anglong"#"03671-"    
 14#"Karimganj District Consumer Disputes Redressal Commission"#"P.O. & District Karimganj"#"03843-262636"    
 15#"Kokrajhar District Consumer Disputes Redressal Commission"#"P.O. & District Kokrajhar - 783370"#"03661-271188"    
 16#"Morigaon District Consumer Disputes Redressal Commission"#"P.O. & District Morigaon"#"03678-240311"    
 17#"N. C. Hills District Consumer Disputes Redressal Commission"#"Haflong - 788819"#"03673-236222"    
 18#"Nagaon District Consumer Disputes Redressal Commission"#"G.N.B. Road, Fouzdaripatty  P.O. & District Nagaon - 782001"#"03372-231144"    
 19#"Nalbari District Consumer Disputes Redressal Commission"#"P.O. & District Nalbari"#"03624-222884"    
 20#"North Lakhimpur District Consumer Disputes Redressal Commission"#"P.O. & District North Lakhimpur"#"03752-222337"    
 21#"Sivsagar District Consumer Disputes Redressal Commission"#"P.O. & District Sivsagar"#"03772-222903"    
 22#"Sonitpur District Consumer Disputes Redressal Commission"#"P.O. Tezpur - District Sonitpur"#"03712-957112, 231431"    
 23#"Tinsukia District Consumer Disputes Redressal Commission"#"P.O. – Borguri, District Tinsukia -   786126"#"0374-2331258"     
 "Bihar"   
 1#"Araria District Consumer  Disputes Redressal Commission"#"Collectorate Campus,  Araria - 854311"#"06453-224421"    
 2#"Arwal District Consumer  Disputes Redressal Commission"#"Block Compound                       Arwal -  804401"#"06337-229006"    
 3#"Aurangabad District Consumer Disputes Redressal Commission"#"Collectorate Compound              Aurangabad   "#"06186-223297"    
 4#"Banka District Consumer Commission"#"Collectorate Compound, Banka – 813102"#"06424-233613"    
 5#"Begusarai District Consumer Commission"#"Vikas Bhawan, Begusarai"#"06243-210678"    
 6#"Bettiah District Consumer Commission"#"Collectorate Compound, West Champaran, Bettiah-845438"#"06254-247184"    
 7#"Bhagalpur District Consumer Disputes Redressal Commission"#"Beside Collectorate,  Bhagalpur - 812001"#"06412-403419"    
 8#"Bhojpur District Consumer Disputes Redressal Commission"#"Opp. Ara Nagar Nigam, Bhojpur,  Ara – 802301"#"06182-242280"    
 9#"Buxur District Consumer Disputes Redressal Commission   "#"PO Buxur, Distt. Buxur – 802101   "#"06183-224258"    
 10#"Darbhanga District Consumer Disputes Redressal Commission"#"Lahariasarai, near Collectorate,  Darbhanga – 846001   "#"0672-240430"    
 11#"Gaya District Consumer Disputes Redressal Commission"#"Gaya Collectorate, Near SBI  Main Branch, Bhojpur, Ara – 823001"#"0631-2227276"    
 12#"Gopalganj District Consumer Disputes Redressal Commission"#"Collectorate Compound,  Gopalganj – 841428"#"06156-227476           "    
 13#"Jamui District Consumer District Redressal Commission"#"Near Civil Court, Jamui-81307"#"06345-223946"    
 14#"Jehanabad District Consumer Disputes Redressal Commission"#"West of Gandhi Maidan,  Jehanabad – 804408"#"06114-226420"    
